"CustomerId","CustomerName","CustomerEmail","CustomerPhone","CustomerAddress","CountryId"
"12346","Customer 12346","user12346@example.com","081-12346","Address 12346, United Kingdom",1
"12347","Customer 12347","user12347@example.com","081-12347","Address 12347, Iceland",2
"12348","Customer 12348","user12348@example.com","081-12348","Address 12348, Finland",3
"12349","Customer 12349","user12349@example.com","081-12349","Address 12349, Italy",4
"12350","Customer 12350","user12350@example.com","081-12350","Address 12350, Norway",5
"12351","Customer 12351","user12351@example.com","081-12351","Address 12351, Unspecified",6
"12352","Customer 12352","user12352@example.com","081-12352","Address 12352, Norway",5
"12353","Customer 12353","user12353@example.com","081-12353","Address 12353, Bahrain",7
"12354","Customer 12354","user12354@example.com","081-12354","Address 12354, Spain",8
"12355","Customer 12355","user12355@example.com","081-12355","Address 12355, Bahrain",7
"12356","Customer 12356","user12356@example.com","081-12356","Address 12356, Portugal",9
"12357","Customer 12357","user12357@example.com","081-12357","Address 12357, Switzerland",10
"12358","Customer 12358","user12358@example.com","081-12358","Address 12358, Austria",11
"12359","Customer 12359","user12359@example.com","081-12359","Address 12359, Cyprus",12
"12360","Customer 12360","user12360@example.com","081-12360","Address 12360, Austria",11
"12361","Customer 12361","user12361@example.com","081-12361","Address 12361, Belgium",13
"12362","Customer 12362","user12362@example.com","081-12362","Address 12362, Belgium",13
"12363","Customer 12363","user12363@example.com","081-12363","Address 12363, Unspecified",6
"12364","Customer 12364","user12364@example.com","081-12364","Address 12364, Belgium",13
"12365","Customer 12365","user12365@example.com","081-12365","Address 12365, Cyprus",12
"12366","Customer 12366","user12366@example.com","081-12366","Address 12366, Cyprus",12
"12368","Customer 12368","user12368@example.com","081-12368","Address 12368, Cyprus",12
"12369","Customer 12369","user12369@example.com","081-12369","Address 12369, Austria",11
"12370","Customer 12370","user12370@example.com","081-12370","Address 12370, Austria",11
"12371","Customer 12371","user12371@example.com","081-12371","Address 12371, Switzerland",10
"12372","Customer 12372","user12372@example.com","081-12372","Address 12372, Denmark",14
"12373","Customer 12373","user12373@example.com","081-12373","Address 12373, Austria",11
"12374","Customer 12374","user12374@example.com","081-12374","Address 12374, Austria",11
"12375","Customer 12375","user12375@example.com","081-12375","Address 12375, Finland",3
"12376","Customer 12376","user12376@example.com","081-12376","Address 12376, Switzerland",10
"12377","Customer 12377","user12377@example.com","081-12377","Address 12377, Switzerland",10
"12378","Customer 12378","user12378@example.com","081-12378","Address 12378, Switzerland",10
"12379","Customer 12379","user12379@example.com","081-12379","Address 12379, Belgium",13
"12380","Customer 12380","user12380@example.com","081-12380","Address 12380, Belgium",13
"12381","Customer 12381","user12381@example.com","081-12381","Address 12381, Norway",5
"12382","Customer 12382","user12382@example.com","081-12382","Address 12382, Netherlands",15
"12383","Customer 12383","user12383@example.com","081-12383","Address 12383, Belgium",13
"12384","Customer 12384","user12384@example.com","081-12384","Address 12384, Switzerland",10
